City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
468,jibuti,11.5,42.5,291.12,65,0,2.47,DJ,1676772407
469,bilma,18.6853,12.9164,288.53,22,3,3.4,NE,1676772408
470,capaci,38.1711,13.2393,283.51,83,0,2.06,IT,1676772228
471,coos bay,43.3665,-124.2179,282.59,91,40,5.66,US,1676772347
472,yamada,39.4667,141.95,276.0,99,100,0.49,JP,1676772408
473,abu samrah,35.3029,37.1841,278.73,74,0,1.56,SY,1676772409
474,vice,-5.4167,-80.7833,299.71,68,81,4.75,PE,1676772409
475,purpe,64.4803,76.6897,254.39,97,100,2.12,RU,1676772410
476,qurbus,36.8167,10.5687,280.17,78,0,2.96,TN,1676772410
477,tyshkivka,48.4967,30.9423,275.63,94,100,6.56,UA,1676772411
478,natal,-5.795,-35.2094,300.51,89,20,2.57,BR,1676772411
479,nivala,63.9167,24.9667,268.53,96,100,1.94,FI,1676772412
480,bereda,43.2686,-7.5406,280.05,96,84,1.84,ES,1676772412
481,bratsk,56.1325,101.6142,253.42,100,100,0.8,RU,1676772413
482,kloulklubed,7.0419,134.2556,300.77,83,100,7.82,PW,1676772413
483,nouadhibou,20.931,-17.0347,290.7,73,100,9.29,MR,1676772414
484,towada,40.6127,141.2067,277.15,100,100,0.79,JP,1676772414
485,honningsvag,70.9821,25.9704,273.01,86,20,3.6,NO,1676772415
486,chapais,49.7834,-74.8492,256.03,88,76,3.67,CA,1676772415
487,ndende,-2.4008,11.3581,297.17,94,100,1.06,GA,1676772416
488,pierre,44.3683,-100.351,274.97,77,0,1.79,US,1676772417
489,hokitika,-42.7167,170.9667,292.83,70,100,3.38,NZ,1676772417
490,chapadinha,-3.7417,-43.3603,295.28,98,100,1.19,BR,1676772418
491,bonavista,48.6499,-53.1147,265.67,72,62,5.82,CA,1676772418
492,labuhan,-6.8844,112.2051,300.84,76,96,4.32,ID,1676772419
493,sao filipe,14.8961,-24.4956,294.63,74,100,2.96,CV,1676772419
494,barranca,-10.75,-77.7667,297.12,75,99,2.83,PE,1676772420
495,baghdad,33.3406,44.4009,276.1,65,0,0.51,IQ,1676772353
496,manaure,11.7751,-72.4445,297.51,76,0,7.04,CO,1676772420
497,norsup,-16.0667,167.3833,302.29,69,94,4.77,VU,1676772421
498,hasaki,35.7333,140.8333,291.37,72,100,14.08,JP,1676772422
499,san andres,12.5847,-81.7006,300.16,78,20,5.14,CO,1676772423
500,mindelo,16.8901,-24.9804,292.9,73,40,7.72,CV,1676772423
501,darhan,49.4867,105.9228,255.99,90,23,1.5,MN,1676772424
502,nabire,-3.3667,135.4833,297.57,96,100,2.06,ID,1676772425
503,nara,34.6851,135.8049,287.54,97,100,4.67,JP,1676772427
504,nantucket,41.2835,-70.0995,276.18,74,0,6.17,US,1676772333
505,dundee,56.5,-2.9667,276.81,97,75,3.09,GB,1676772428
506,puerto madryn,-42.7692,-65.0385,292.84,48,100,12.02,AR,1676772430
507,mbanza-ngungu,-5.25,14.8667,294.08,96,100,1.81,CD,1676772430
508,opuwo,-18.0607,13.84,286.59,57,100,0.63,NA,1676772137
509,khuzdar,27.7384,66.6434,288.64,18,4,2.39,PK,1676772431
510,flinders,-34.5833,150.8552,301.03,66,61,1.79,AU,1676772432
511,marrakesh,31.6315,-8.0083,286.19,67,43,1.03,MA,1676772432
